"source","target","sum"
"0","8",1334240
"1","8",1256565
"2","8",1155899
"3","8",1084376
"4","8",1028036
"5","8",1013228
"6","8",940419
"7","8",925514
"8","8",724118
"9","8",724118
"0","11",689918
"0","10",677717
"1","11",646214
"1","10",638643
"2","10",582538
"2","11",581948
"3","10",553315
"4","10",532797
"3","11",528693
"5","10",526181
"4","11",505662
"6","10",505028
"7","10",499333
"5","11",492529
"6","11",476739
"7","11",462270
"10","10",377265
"9","10",377265
"0","14",354440
"1","14",335120
"2","14",298708
"3","14",273817
"11","11",267331
"9","11",267331
"4","14",265050
"5","14",259386
"6","14",251680
"0","18",247779
"7","14",245072
"1","18",233661
"0","20",221371
"12","8",217979
"1","20",206962
"2","18",204935
"3","18",194076
"4","18",182795
"2","20",181423
"5","18",180098
"13","8",178076
"0","21",177811
"1","21",166583
"3","20",162525
"0","22",162223
"0","24",161475
"2","21",154837
"4","20",153917
"14","14",153030
"9","14",153030
"1","24",152422
"1","22",150081
"5","20",148446
"3","21",145684
"6","20",144681
"15","8",142170
"2","22",140172
"4","21",137390
"7","20",136812
"2","24",135582
"5","21",134145
"12","11",133631
"3","22",133530
"16","8",131990
"6","21",126745
"4","22",124879
"5","22",123429
"3","24",121437
"4","24",115150
"5","24",111704
"7","22",111078
"6","22",110022
"13","11",107682
"17","18",107466
"6","24",107144
"7","24",101617
"12","10",95806
"9","18",95011
"18","18",95011
"13","10",94904
"0","28",94464
"1","28",89174
"15","11",87549
"17","8",87353
"19","8",87343
"16","11",81917
"0","31",79668
"9","20",79017
"20","20",79017
"0","27",78936
"2","28",78405
"21","21",75792
"9","21",75792
"6","18",75037
"1","31",74537
"1","27",73916
"8","11",73237
"3","28",73171
"7","18",72474
"4","28",69226
"5","28",68066
"2","31",66149
"2","27",64619
"0","50",63830
"12","14",63594
"3","27",63180
"0","33",61650
"3","31",60091
"15","10",60073
"1","50",59302
"1","33",58823
"4","27",58075
"5","27",57083
"16","10",56336
"4","31",56166
"19","11",55911
"9","22",55552
"22","22",55552
"13","14",55460
"5","31",54492
"0","35",53990
"6","27",53790
"2","33",53778
"2","50",52304
"0","42",51755
"6","31",51432
"12","20",51386
"23","8",51215
"8","10",50907
"3","33",50737
"7","27",50434
"1","35",50386
"24","24",50379
"9","24",50379
"10","8",49828
"4","33",49328
"5","33",48421
"1","42",48131
"12","18",47794
"6","33",47253
"7","21",47241
"7","33",46162
"15","14",44489
"10","11",44249
"25","8",43522
"2","35",42684
