"source","target","sum"
"WLD","DEU",1334240
"G20","DEU",1256565
"OECD","DEU",1155899
"ZEUR","DEU",1084376
"EU28","DEU",1028036
"EU27_2020","DEU",1013228
"EU15","DEU",940419
"EA19","DEU",925514
"DEU","DEU",724118
"DXD","DEU",724118
"WLD","FRA",689918
"WLD","ITA",677717
"G20","FRA",646214
"G20","ITA",638643
"OECD","ITA",582538
"OECD","FRA",581948
"ZEUR","ITA",553315
"EU28","ITA",532797
"ZEUR","FRA",528693
"EU27_2020","ITA",526181
"EU28","FRA",505662
"EU15","ITA",505028
"EA19","ITA",499333
"EU27_2020","FRA",492529
"EU15","FRA",476739
"EA19","FRA",462270
"ITA","ITA",377265
"DXD","ITA",377265
"WLD","ESP",354440
"G20","ESP",335120
"OECD","ESP",298708
"ZEUR","ESP",273817
"FRA","FRA",267331
"DXD","FRA",267331
"EU28","ESP",265050
"EU27_2020","ESP",259386
"EU15","ESP",251680
"WLD","POL",247779
"EA19","ESP",245072
"G20","POL",233661
"WLD","NLD",221371
"APEC","DEU",217979
"G20","NLD",206962
"OECD","POL",204935
"ZEUR","POL",194076
"EU28","POL",182795
"OECD","NLD",181423
"EU27_2020","POL",180098
"NONOECD","DEU",178076
"WLD","SWE",177811
"G20","SWE",166583
"ZEUR","NLD",162525
"WLD","AUT",162223
"WLD","BEL",161475
"OECD","SWE",154837
"EU28","NLD",153917
"ESP","ESP",153030
"DXD","ESP",153030
"G20","BEL",152422
"G20","AUT",150081
"EU27_2020","NLD",148446
"ZEUR","SWE",145684
"EU15","NLD",144681
"ZASI","DEU",142170
"OECD","AUT",140172
"EU28","SWE",137390
"EA19","NLD",136812
"OECD","BEL",135582
"EU27_2020","SWE",134145
"APEC","FRA",133631
"ZEUR","AUT",133530
"EASIA","DEU",131990
"EU15","SWE",126745
"EU28","AUT",124879
"EU27_2020","AUT",123429
"ZEUR","BEL",121437
"EU28","BEL",115150
"EU27_2020","BEL",111704
"EA19","AUT",111078
"EU15","AUT",110022
"NONOECD","FRA",107682
"EU13","POL",107466
"EU15","BEL",107144
"EA19","BEL",101617
"APEC","ITA",95806
"DXD","POL",95011
"POL","POL",95011
"NONOECD","ITA",94904
"WLD","CZE",94464
"G20","CZE",89174
"ZASI","FRA",87549
"EU13","DEU",87353
"CHN","DEU",87343
"EASIA","FRA",81917
"WLD","DNK",79668
"DXD","NLD",79017
"NLD","NLD",79017
"WLD","FIN",78936
"OECD","CZE",78405
"SWE","SWE",75792
"DXD","SWE",75792
"EU15","POL",75037
"G20","DNK",74537
"G20","FIN",73916
"DEU","FRA",73237
"ZEUR","CZE",73171
"EA19","POL",72474
"EU28","CZE",69226
"EU27_2020","CZE",68066
"OECD","DNK",66149
"OECD","FIN",64619
"WLD","IRL",63830
"APEC","ESP",63594
"ZEUR","FIN",63180
"WLD","PRT",61650
"ZEUR","DNK",60091
"ZASI","ITA",60073
"G20","IRL",59302
"G20","PRT",58823
"EU28","FIN",58075
"EU27_2020","FIN",57083
"EASIA","ITA",56336
"EU28","DNK",56166
"CHN","FRA",55911
"DXD","AUT",55552
"AUT","AUT",55552
"NONOECD","ESP",55460
"EU27_2020","DNK",54492
"WLD","GRC",53990
"EU15","FIN",53790
"OECD","PRT",53778
"OECD","IRL",52304
"WLD","HUN",51755
"EU15","DNK",51432
"APEC","NLD",51386
"ZOTH","DEU",51215
"DEU","ITA",50907
"ZEUR","PRT",50737
"EA19","FIN",50434
"G20","GRC",50386
"BEL","BEL",50379
"DXD","BEL",50379
"ITA","DEU",49828
"EU28","PRT",49328
"EU27_2020","PRT",48421
"G20","HUN",48131
"APEC","POL",47794
"EU15","PRT",47253
"EA19","SWE",47241
"EA19","PRT",46162
"ZASI","ESP",44489
"ITA","FRA",44249
"ZNAM","DEU",43522
"OECD","GRC",42684
"WLD","SVK",42679
"NONOECD","POL",42564
"OECD","HUN",42474
"EASIA","ESP",42007
"ZEUR","HUN",39988
"NONOECD","NLD",39687
"G20","SVK",39396
"ZOTH","ITA",38433
"EU28","HUN",37725
"EU13","CZE",37447
"CHN","ITA",37390
"EU27_2020","HUN",37045
"ZEUR","IRL",36848
"USA","DEU",36010
"FIN","FIN",35061
"DXD","FIN",35061
"ZOTH","FRA",34974
"EU28","IRL",34738
"OECD","SVK",34516
"ZEUR","GRC",34469
"ZASI","NLD",34344
"FRA","DEU",34273
"DEU","POL",33758
"APEC","BEL",33668
"AUT","DEU",32946
"ZASI","POL",32784
"EU15","IRL",32348
"EA19","CZE",32215
"EU28","GRC",32037
"DEU","AUT",31950
"EU15","CZE",31548
"ZEUR","SVK",31513
"EASIA","NLD",31471
"EU27_2020","GRC",31314
"EASIA","POL",30932
"DEU","ESP",30710
"POL","DEU",30213
"EU28","SVK",29819
"EU15","GRC",29686
"EU27_2020","SVK",29377
"CHN","ESP",28922
"ZNAM","FRA",28868
"EA19","GRC",28831
"EU13","FRA",28655
"ESP","FRA",28501
"DXD","CZE",27973
"CZE","CZE",27973
"APEC","SWE",27785
"EU27_2020","IRL",27757
"EU13","ITA",27494
"DEU","NLD",26957
"CHE","DEU",26076
"NONOECD","BEL",25661
"EA19","IRL",24790
"JPN","DEU",24736
"DXD","DNK",24226
"DNK","DNK",24226
"USA","FRA",23972
"RUS","DEU",23962
"WLD","HRV",23857
"APEC","AUT",23818
"CZE","DEU",23664
"EA19","SVK",23472
"WLD","BGR",23448
"APEC","IRL",23434
"NONOECD","SWE",22719
"EA19","HUN",22517
"EA19","DNK",22233
"WLD","SVN",22049
"G20","HRV",22024
"NONOECD","AUT",21787
"EU15","HUN",21737
"G20","BGR",21375
"ESP","DEU",21358
"CHN","POL",21338
"ZASI","BEL",21212
"ITA","ESP",20846
"G20","SVN",20339
"CHN","NLD",20172
"FRA","ITA",20078
"DXD","PRT",20024
"PRT","PRT",20024
"EASIA","BEL",19805
"ZEUR","HRV",19789
"ZOTH","ESP",19443
"ROW","DEU",19207
"APEC","CZE",19151
"EU28","HRV",19078
"EU27_2020","HRV",18923
"DEU","SWE",18656
"ZASI","SWE",18576
"DEU","BEL",18181
"OECD","SVN",17966
"FRA","ESP",17901
"APEC","DNK",17731
"ZEUR","BGR",17669
"EASIA","SWE",17358
"ZEUR","SVN",17255
"APEC","GRC",16749
"WLD","LTU",16730
"DXD","GRC",16658
"GRC","GRC",16658
"EU28","SVN",16520
"ROW","ITA",16476
"EU27_2020","SVN",16350
"ZNAM","ITA",16260
"NLD","DEU",16024
"EU28","BGR",15947
"EU13","SVK",15805
"NONOECD","CZE",15799
"EU13","HUN",15748
"EU27_2020","BGR",15710
"DEU","CZE",15576
"ZASI","AUT",15309
"G20","LTU",15301
"APEC","FIN",15076
"JPN","FRA",14844
"EU13","AUT",14596
"ESP","ITA",14567
"EA19","SVN",14561
"GBR","DEU",14541
"TUR","DEU",14415
"EASIA","AUT",14176
"NONOECD","FIN",14088
"EU15","SVK",13746
"ZASI","CZE",13560
"BEL","DEU",13361
"BEL","FRA",13358
"NONOECD","DNK",13259
"USA","ITA",13229
"ZEUR","LTU",13188
"EU13","ESP",13113
"RUS","ITA",12922
"GBR","FRA",12891
"ZASI","GRC",12869
"ZASI","DNK",12857
"OECD","LTU",12837
"EASIA","CZE",12760
"NONOECD","BGR",12726
"EASIA","GRC",12490
"KOR","DEU",12323
"EASIA","DNK",12113
"OECD","HRV",11961
"ZSCA","DEU",11893
"ZOTH","POL",11875
"ITA","POL",11729
"NONOECD","HRV",11677
"SWE","DEU",11675
"EU28","LTU",11617
"EU27_2020","LTU",11360
"NONOECD","IRL",11303
"CHN","SWE",11241
"ZNAM","ESP",11192
"EU13","HRV",11171
"ZASI","IRL",11102
"ROW","FRA",11054
"NONOECD","GRC",11052
"ZNAM","NLD",10606
"WLD","LUX",10600
"OECD","BGR",10471
"WLD","EST",10455
"ZNAM","IRL",10412
"EU13","SWE",10385
"EASIA","IRL",10349
"CHN","BEL",10196
"ZOTH","NLD",10166
"RUS","FRA",10092
"AUT","ITA",10079
"ESP","PRT",10032
"DXD","SVK",10020
"SVK","SVK",10020
"ASEAN","DEU",9934
"DEU","HUN",9915
"DEU","DNK",9885
"SVK","DEU",9790
"G20","LUX",9768
"POL","FRA",9757
"G20","EST",9660
"CHE","FRA",9626
"TUR","ITA",9593
"APEC","HUN",9389
"CHN","AUT",9250
"USA","IRL",9237
"JPN","ITA",9163
"EU13","BGR",9129
"APEC","SVK",9123
"WLD","LVA",9012
"NONOECD","HUN",9003
"USA","ESP",8998
"EU13","SVN",8992
"EA19","LTU",8979
"EU13","NLD",8973
"USA","NLD",8971
"TUR","FRA",8931
"ZOTH","BEL",8889
"ZSCA","FRA",8803
"FRA","BEL",8797
"OECD","LUX",8788
"EA19","HRV",8774
"ZASI","FIN",8746
"AUT","FRA",8718
"DXD","HUN",8600
"HUN","HUN",8600
"ZSCA","ITA",8566
"ITA","AUT",8496
"POL","ITA",8426
"G20","LVA",8338
"HUN","DEU",8304
"IND","DEU",8271
"HRV","HRV",8236
"DXD","HRV",8236
"EASIA","FIN",8172
"NLD","FRA",8041
"CHN","CZE",8038
"OECD","EST",7897
"NONOECD","SVK",7879
"ZEUR","EST",7839
"APEC","PRT",7735
"EU13","BEL",7733
"EU15","HRV",7656
"NONOECD","PRT",7610
"ZEUR","LUX",7521
"DEU","IRL",7493
"WLD","CYP",7487
"NLD","BEL",7371
"EU15","SVN",7307
"BGR","BGR",7272
"DXD","BGR",7272
"SVN","SVN",7186
"DXD","SVN",7186
"ZEUR","LVA",7120
"EU28","LUX",7073
"CHN","DNK",7034
"RUS","POL",7009
"ZOTH","AUT",6941
"G20","CYP",6921
"ZNAM","BEL",6917
"KOR","FRA",6841
"EU27_2020","LUX",6817
"OECD","LVA",6816
"EU28","EST",6797
"JPN","NLD",6762
"TWN","DEU",6740
"GBR","IRL",6735
"ZASI","SVK",6708
"EU27_2020","EST",6617
"EU15","BGR",6599
"EU15","LUX",6549
"ITA","NLD",6497
"ITA","BEL",6491
"EA19","BGR",6455
"KOR","ITA",6378
"JPN","ESP",6370
"ROW","ESP",6366
"GBR","ITA",6345
"DEU","FIN",6343
"EASIA","SVK",6287
"ZOTH","SWE",6278
"IND","FRA",6249
"EA19","LUX",6224
"FIN","DEU",6205
"CZE","FRA",6183
"ZNAM","POL",6152
"ZASI","HUN",6135
"NLD","ITA",6108
"EU28","LVA",6067
"IND","ITA",6028
"EU13","LTU",6000
"DEU","SVK",5981
"EU27_2020","LVA",5952
"KOR","GRC",5901
"DEU","PRT",5785
"SWE","FRA",5743
"EASIA","HUN",5712
"CHE","ITA",5668
"FRA","NLD",5653
"CHN","FIN",5642
"FRA","POL",5609
"BEL","ITA",5604
"BEL","NLD",5553
"USA","BEL",5552
"ITA","SWE",5502
"PRT","ESP",5501
"GBR","ESP",5477
"EA19","EST",5459
"CHN","IRL",5451
"ASEAN","FRA",5437
"EU15","LTU",5395
"TUR","ESP",5278
"GBR","NLD",5221
"ZNAM","SWE",5189
"ZASI","PRT",5064
"USA","POL",4963
"JPN","BEL",4836
"CZE","ITA",4827
"ROW","POL",4825
"CHE","AUT",4824
"ROU","DEU",4803
